bus,name,bus_category,powerworld_V_pu,python_V_pu,delta_V_pu,abs_delta_V_pu,delta_V_percent_of_PW,powerworld_angle_deg,python_angle_deg,delta_angle_deg,abs_delta_angle_deg
1,TIM345,PQ,1.02264,1.0224242970849968,-0.00021570291500316863,0.00021570291500316863,-0.02109275160400225,-16.07,-16.070749924971665,-0.0007499249716715894,0.0007499249716715894
56,LYNN138,PQ,1.02231,1.0220678700978654,-0.0002421299021346801,0.0002421299021346801,-0.02368458707580676,-16.48,-16.482296069717112,-0.0022960697171185984,0.0022960697171185984
29,JO138,PQ,1.02361,1.0235014369213289,-0.00010856307867102011,0.00010856307867102011,-0.010605902508867646,-16.0,-16.011470790900475,-0.011470790900489192,0.011470790900489192
30,CAROL138,PQ,1.00586,1.005682158356925,-0.00017784164307488304,0.00017784164307488304,-0.01768055624787575,-20.09,-20.107184981735315,-0.01718498173531202,0.01718498173531202
3,MORO138,PQ,0.99867,0.9979754768324786,-0.0006945231675213881,0.0006945231675213881,-0.06954481135123596,-21.28,-21.29179485891953,-0.01179485891952936,0.01179485891952936
32,NICOL138,PQ,1.00873,1.0085709259799815,-0.00015907402001835713,0.00015907402001835713,-0.015769732239385877,-19.55,-19.565494184206724,-0.015494184206716,0.015494184206716
33,NICOL69,PQ,1.01255,1.0124663766573148,-8.36233426853017e-05,8.36233426853017e-05,-0.008258687737425479,-21.17,-21.192599524072378,-0.022599524072376198,0.022599524072376198
34,PATTEN69,PQ,1.00472,1.0047193808309154,-6.191690846701903e-07,6.191690846701903e-07,-6.16260335884814e-05,-24.45,-24.483298558129896,-0.0332985581298999,0.0332985581298999
35,SLACK138,PQ,1.02351,1.0230681221927391,-0.0004418778072607932,0.0004418778072607932,-0.04317278846916915,-16.57,-16.57294857917651,-0.002948579176518251,0.002948579176518251
37,AMANDA69,PQ,1.00762,1.006712891459007,-0.0009071085409928514,0.0009071085409928514,-0.09002486463079847,-25.92,-25.940092704427276,-0.02009270442727029,0.02009270442727029
38,RAY345,PQ,1.02294,1.0225611069046237,-0.0003788930953763092,0.0003788930953763092,-0.03703962064014597,-16.07,-16.07147635471177,-0.0014763547117695452,0.0014763547117695452
39,RAY138,PQ,1.0101,1.0088301220610327,-0.0012698779389672676,0.0012698779389672676,-0.12571804167580117,-19.19,-19.190447931192526,-0.000447931192525175,0.000447931192525175
40,TIM138,PQ,0.99908,0.9981007107167017,-0.000979289283298268,0.000979289283298268,-0.09801910590726148,-21.01,-21.01570470567915,-0.005704705679136168,0.005704705679136168
41,LAUF138,PQ,1.0009,1.0006660672908492,-0.0002339327091507304,0.0002339327091507304,-0.023372235902760555,-21.31,-21.33507319893163,-0.025073198931636398,0.025073198931636398
24,HIMAN69,PQ,0.991,0.9882695180627064,-0.0027304819372936384,0.0027304819372936384,-0.27552794523649227,-25.79,-25.81432588837191,-0.02432588837191929,0.02432588837191929
47,BOB138,PQ,0.98207,0.9785511582925805,-0.003518841707419451,0.003518841707419451,-0.3583086447421723,-23.44,-23.41499966100031,0.02500033899968912,0.02500033899968912
44,LAUF69,PV,1.02,1.02,0.0,0.0,0.0,-23.81,-23.853297845674614,-0.043297845674601376,0.043297845674601376
14,WEBER69,PQ (Gens at Var Limit),1.00883,1.00883028106753,2.81067530139012e-07,2.81067530139012e-07,2.7860742656246546e-05,-24.41,-24.448751868709422,-0.03875186870942571,0.03875186870942571
54,SANDERS69,PQ,0.9914,0.9877977469682525,-0.0036022530317474377,0.0036022530317474377,-0.3633501141564896,-25.77,-25.768962574517747,0.0010374254822522744,0.0010374254822522744
53,SANDERS138,PQ (Gens at Var Limit),0.98418,0.9806529839635341,-0.003527016036465991,0.003527016036465991,-0.3583710333949065,-23.62,-23.598235379924926,0.02176462007508917,0.02176462007508917
28,JO345,PV,1.03,1.03,0.0,0.0,0.0,-13.13,-13.141112026979629,-0.01111202697961744,0.01111202697961744
50,DAVIS69,PV,1.02,1.02,0.0,0.0,0.0,-22.2,-22.22624981322447,-0.02624981322446729,0.02624981322446729
48,BOB69,PV,1.0,0.9945741771282052,-0.005425822871794828,0.005425822871794828,-0.5425822871794828,-26.07,-26.044135258658333,0.025864741341678155,0.025864741341678155
