Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000019GROSS69,NO,YES,Bus '19',,3PB,None,"0,000","0,000",,"11,34827","-93,60231","  11,348","  11,348","  11,348"," 0,03048"," 0,08391",,,,,,,
B_000020SCOT69,NO,YES,Bus '20',,3PB,None,"0,000","0,000",,"10,48546","-95,61730","  10,485","  10,485","  10,485"," 0,03159"," 0,09083",,,,,,,
B_000021WOLEN69,NO,YES,Bus '21',,3PB,None,"0,000","0,000",,"16,17502","-99,81476","  16,175","  16,175","  16,175"," 0,01827"," 0,05825",,,,,,,
B_000024HIMAN69,NO,YES,Bus '24',,3PB,None,"0,000","0,000",,"18,70160","-94,43390","  18,702","  18,701","  18,701"," 0,01976"," 0,04916",,,,,,,
B_000027HISKY69,NO,YES,Bus '27',,3PB,None,"0,000","0,000",,"17,83957","-100,44548","  17,840","  17,839","  17,839"," 0,01509"," 0,05375",,,,,,,
B_000028JO345,NO,YES,Bus '28',,3PB,None,"0,000","0,000",,"63,61626","-102,95927","  63,616","  63,615","  63,615"," 0,00063"," 0,01618",,,,,,,
B_000029JO138,NO,YES,Bus '29',,3PB,None,"0,000","0,000",,"35,56438","-103,11411","  35,564","  35,564","  35,564"," 0,00223"," 0,02869",,,,,,,
B_000030CAROL138,NO,YES,Bus '30',,3PB,None,"0,000","0,000",,"21,05995","-101,83165","  21,060","  21,059","  21,059"," 0,00783"," 0,04713",,,,,,,
B_000031SLACK345,NO,YES,Bus '31',,3PB,None,"0,000","0,000",,"52,76696","-100,71960","  52,767","  52,766","  52,766"," 0,00138"," 0,01947",,,,,,,
B_000032NICOL138,NO,YES,Bus '32',,3PB,None,"0,000","0,000",,"21,84022","-101,40197","  21,840","  21,840","  21,840"," 0,00754"," 0,04558",,,,,,,
B_000033NICOL69,NO,YES,Bus '33',,3PB,None,"0,000","0,000",,"12,28137","-101,83377","  12,281","  12,281","  12,281"," 0,01506"," 0,08106",,,,,,,
B_000034PATTEN69,NO,YES,Bus '34',,3PB,None,"0,000","0,000",,"11,84852","-96,94701","  11,849","  11,848","  11,848"," 0,02688"," 0,08043",,,,,,,
B_000035SLACK138,NO,YES,Bus '35',,3PB,None,"0,000","0,000",,"25,06331","-101,67702","  25,063","  25,063","  25,063"," 0,00375"," 0,04068",,,,,,,
B_000037AMANDA69,NO,YES,Bus '37',,3PB,None,"0,000","0,000",,"10,87591","-93,69820","  10,876","  10,876","  10,876"," 0,03589"," 0,08544",,,,,,,
B_000038RAY345,NO,YES,Bus '38',,3PB,None,"0,000","0,000",,"39,46930","-101,20779","  39,469","  39,468","  39,468"," 0,00223"," 0,02582",,,,,,,
B_000039RAY138,NO,YES,Bus '39',,3PB,None,"0,000","0,000",,"35,00753","-101,76338","  35,008","  35,007","  35,007"," 0,00385"," 0,02860",,,,,,,
B_000040TIM138,NO,YES,Bus '40',,3PB,None,"0,000","0,000",,"27,87987","-102,06709","  27,880","  27,879","  27,879"," 0,00581"," 0,03536",,,,,,,
B_000041LAUF138,NO,YES,Bus '41',,3PB,None,"0,000","0,000",,"27,91669","-103,66396","  27,917","  27,916","  27,916"," 0,00537"," 0,03546",,,,,,,
B_000044LAUF69,NO,YES,Bus '44',,3PB,None,"0,000","0,000",,"30,00296","-102,81906","  30,003","  30,002","  30,002"," 0,00697"," 0,03327",,,,,,,
B_000047BOB138,NO,YES,Bus '47',,3PB,None,"0,000","0,000",,"30,48013","-104,57561","  30,480","  30,479","  30,479"," 0,00516"," 0,03180",,,,,,,
B_000048BOB69,NO,YES,Bus '48',,3PB,None,"0,000","0,000",,"25,32937","-104,53087","  25,329","  25,329","  25,329"," 0,00816"," 0,03863",,,,,,,
B_000050DAVIS69,NO,YES,Bus '50',,3PB,None,"0,000","0,000",,"12,84402","-100,69866","  12,844","  12,844","  12,844"," 0,01732"," 0,07750",,,,,,,
B_000053SANDERS138,NO,YES,Bus '53',,3PB,None,"0,000","0,000",,"30,40789","-104,85418","  30,408","  30,407","  30,407"," 0,00513"," 0,03195",,,,,,,
B_000054SANDERS69,NO,YES,Bus '54',,3PB,None,"0,000","0,000",,"26,65960","-101,01126","  26,660","  26,659","  26,659"," 0,00974"," 0,03590",,,,,,,
B_000055DEMAR69,NO,YES,Bus '55',,3PB,None,"0,000","0,000",,"10,54877","-89,56523","  10,549","  10,549","  10,549"," 0,04142"," 0,08466",,,,,,,
B_000056LYNN138,NO,YES,Bus '56',,3PB,None,"0,000","0,000",,"18,43651","-100,41261","  18,437","  18,436","  18,436"," 0,00689"," 0,05502",,,,,,,
