Fault
FaultName,CTGSkip,CTGSolved,WhoAmI,FaultLocation,FaultType,FaultType:1,FaultImpedance,FaultImpedance:1,FaultLocationActual,ABCPhaseI,ABCPhaseAngle,ABCPhaseI:2,ABCPhaseI:3,ABCPhaseI:4,FaultThevImp,FaultThevImp:1,ABCPhaseI:1,ABCPhaseAngle:1,ABCPhaseI:5,ABCPhaseI:6,ABCPhaseI:7,FaultThevImp:2,FaultThevImp:3
B_000037AMANDA69,NO,YES,Bus '37',,3PB,None,"0,000","0,000",,"10,87394","-93,13731","  10,874","  10,874","  10,874"," 0,03589"," 0,08543",,,,,,,
B_000038RAY345,NO,YES,Bus '38',,3PB,None,"0,000","0,000",,"39,47538","-101,13786","  39,475","  39,475","  39,475"," 0,00223"," 0,02582",,,,,,,
B_000039RAY138,NO,YES,Bus '39',,3PB,None,"0,000","0,000",,"35,00836","-101,52741","  35,008","  35,008","  35,008"," 0,00385"," 0,02859",,,,,,,
B_000040TIM138,NO,YES,Bus '40',,3PB,None,"0,000","0,000",,"27,87965","-101,67439","  27,880","  27,879","  27,879"," 0,00582"," 0,03536",,,,,,,
B_000041LAUF138,NO,YES,Bus '41',,3PB,None,"0,000","0,000",,"27,90634","-102,70131","  27,906","  27,906","  27,906"," 0,00537"," 0,03546",,,,,,,
B_000044LAUF69,NO,YES,Bus '44',,3PB,None,"0,000","0,000",,"30,00466","-101,98339","  30,005","  30,004","  30,004"," 0,00697"," 0,03327",,,,,,,
B_000047BOB138,NO,YES,Bus '47',,3PB,None,"0,000","0,000",,"30,49303","-104,24005","  30,493","  30,492","  30,492"," 0,00516"," 0,03179",,,,,,,
B_000048BOB69,NO,YES,Bus '48',,3PB,None,"0,000","0,000",,"25,35222","-104,16496","  25,352","  25,352","  25,352"," 0,00815"," 0,03859",,,,,,,
B_000050DAVIS69,NO,YES,Bus '50',,3PB,None,"0,000","0,000",,"12,84408","-99,60757","  12,844","  12,844","  12,844"," 0,01732"," 0,07750",,,,,,,
B_000053SANDERS138,NO,YES,Bus '53',,3PB,None,"0,000","0,000",,"30,42002","-104,50877","  30,420","  30,419","  30,419"," 0,00513"," 0,03194",,,,,,,
B_000054SANDERS69,NO,YES,Bus '54',,3PB,None,"0,000","0,000",,"26,66545","-100,59891","  26,665","  26,665","  26,665"," 0,00974"," 0,03588",,,,,,,
B_000055DEMAR69,NO,YES,Bus '55',,3PB,None,"0,000","0,000",,"10,54589","-89,20258","  10,546","  10,546","  10,546"," 0,04142"," 0,08464",,,,,,,
B_000056LYNN138,NO,YES,Bus '56',,3PB,None,"0,000","0,000",,"18,43679","-99,34035","  18,437","  18,436","  18,436"," 0,00689"," 0,05502",,,,,,,
