Branch
BusNumFrom,BusNameFrom,BusNumTo,BusNameTo,Circuit,Status,BranchDeviceType,IsXF,R,X,G,B,Tap,LimitMVAA,LimitMVAB,LimitMVAC
13,FERNA69,55,DEMAR69,1,Closed,Line,NO,"  0,02216","  0,09040"," 0,00000","  0,00170"," 1,00000","     90,0","     90,0","     90,0"
20,SCOT69,48,BOB69,1,Open,Line,NO,"  0,02133","  0,05210"," 0,00000","  0,00090"," 1,00000","     82,0","     82,0","     82,0"
10,RAY69,13,FERNA69,1,Closed,Line,NO,"  0,03375","  0,07890"," 0,00000","  0,00120"," 1,00000","     82,0","     82,0","     82,0"
18,HANNAH69,37,AMANDA69,2,Closed,Line,NO,"  0,01017","  0,00559"," 0,00000","  0,02530"," 1,00000","     68,0","     68,0","     68,0"
12,TIM69,27,HISKY69,1,Closed,Line,NO,"  0,01420","  0,07557"," 0,00000","  0,06950"," 1,00000","    112,0","    112,0","    112,0"
5,HOMER69,44,LAUF69,1,Closed,Line,NO,"  0,03463","  0,08253"," 0,00000","  0,00160"," 1,00000","    102,0","    102,0","    102,0"
3,MORO138,40,TIM138,1,Closed,Line,NO,"  0,00480","  0,03680"," 0,00000","  0,01820"," 1,00000","    233,0","    233,0","    233,0"
16,PETE69,27,HISKY69,1,Closed,Line,NO,"  0,00366","  0,01312"," 0,00000","  0,04600"," 1,00000","    112,0","    112,0","    112,0"
17,PAI69,19,GROSS69,1,Closed,Line,NO,"  0,02703","  0,03613"," 0,00000","  0,00200"," 1,00000","     50,0","     50,0","     72,0"
18,HANNAH69,37,AMANDA69,1,Closed,Line,NO,"  0,01017","  0,00559"," 0,00000","  0,02530"," 1,00000","     68,0","     68,0","     68,0"
15,ZEB69,54,SANDERS69,3,Closed,Line,NO,"  0,00859","  0,00472"," 0,00000","  0,02140"," 1,00000","     77,0","     77,0","     77,0"
20,SCOT69,34,PATTEN69,1,Closed,Line,NO,"  0,02423","  0,05862"," 0,00000","  0,00110"," 1,00000","     72,0","     72,0","     72,0"
54,SANDERS69,55,DEMAR69,1,Closed,Line,NO,"  0,06246","  0,08246"," 0,00000","  0,00030"," 1,00000","     50,0","     50,0","     50,0"
20,SCOT69,50,DAVIS69,1,Closed,Line,NO,"  0,04240","  0,07509"," 0,00000","  0,00080"," 1,00000","     82,0","     82,0","     82,0"
21,WOLEN69,48,BOB69,1,Closed,Line,NO,"  0,01824","  0,04236"," 0,00000","  0,00750"," 1,00000","     72,0","     72,0","     72,0"
21,WOLEN69,48,BOB69,2,Closed,Line,NO,"  0,01829","  0,04246"," 0,00000","  0,00780"," 1,00000","     72,0","     72,0","     72,0"
12,TIM69,18,HANNAH69,1,Closed,Line,NO,"  0,02747","  0,08909"," 0,00000","  0,00190"," 1,00000","    106,0","    106,0","    106,0"
15,ZEB69,54,SANDERS69,2,Closed,Line,NO,"  0,00855","  0,00470"," 0,00000","  0,02130"," 1,00000","     77,0","     77,0","     77,0"
15,ZEB69,54,SANDERS69,1,Closed,Line,NO,"  0,00846","  0,00465"," 0,00000","  0,02100"," 1,00000","     77,0","     77,0","     77,0"
12,TIM69,17,PAI69,1,Closed,Line,NO,"  0,02172","  0,06935"," 0,00000","  0,00190"," 1,00000","     82,0","     82,0","     82,0"
5,HOMER69,18,HANNAH69,1,Closed,Line,NO,"  0,03133","  0,07675"," 0,00000","  0,00150"," 1,00000","    102,0","    102,0","    102,0"
30,CAROL138,32,NICOL138,1,Closed,Line,NO,"  0,00225","  0,01340"," 0,00000","  0,00400"," 1,00000","    191,0","    191,0","    191,0"
56,LYNN138,29,JO138,1,Closed,Line,NO,"  0,00771","  0,05440"," 0,00000","  0,01380"," 1,00000","    133,0","    133,0","    133,0"
15,ZEB69,24,HIMAN69,1,Closed,Line,NO,"  0,01835","  0,02845"," 0,00000","  0,02210"," 1,00000","     74,0","     74,0","     74,0"
30,CAROL138,41,LAUF138,1,Closed,Line,NO,"  0,00735","  0,04395"," 0,00000","  0,01230"," 1,00000","    191,0","    191,0","    191,0"
29,JO138,41,LAUF138,1,Closed,Line,NO,"  0,01868","  0,12590"," 0,00000","  0,03560"," 1,00000","    191,0","    191,0","    191,0"
31,SLACK345,38,RAY345,1,Closed,Line,NO,"  0,00075","  0,01092"," 0,00000","  0,11700"," 1,00000","    597,0","    597,0","    597,0"
32,NICOL138,29,JO138,1,Closed,Line,NO,"  0,01030","  0,05681"," 0,00000","  0,01640"," 1,00000","    191,0","    191,0","    191,0"
33,NICOL69,50,DAVIS69,1,Closed,Line,NO,"  0,05020","  0,10100"," 0,00000","  0,00250"," 1,00000","     82,0","     82,0","     82,0"
35,SLACK138,39,RAY138,1,Closed,Line,NO,"  0,01028","  0,07253"," 0,00000","  0,01760"," 1,00000","    288,0","    288,0","    288,0"
35,SLACK138,56,LYNN138,1,Closed,Line,NO,"  0,01243","  0,07847"," 0,00000","  0,01920"," 1,00000","    100,0","    100,0","    100,0"
15,ZEB69,16,PETE69,1,Closed,Line,NO,"  0,00753","  0,02582"," 0,00000","  0,02060"," 1,00000","     93,0","     93,0","     93,0"
31,SLACK345,28,JO345,1,Closed,Line,NO,"  0,00224","  0,03268"," 0,00000","  0,35000"," 1,00000","    600,0","    600,0","    720,0"
39,RAY138,40,TIM138,1,Closed,Line,NO,"  0,01161","  0,08085"," 0,00000","  0,02250"," 1,00000","    233,0","    233,0","    233,0"
39,RAY138,47,BOB138,1,Closed,Line,NO,"  0,00775","  0,05244"," 0,00000","  0,01540"," 1,00000","    233,0","    233,0","    233,0"
14,WEBER69,44,LAUF69,1,Closed,Line,NO,"  0,04211","  0,08545"," 0,00000","  0,04740"," 1,00000","     81,0","     81,0","     81,0"
24,HIMAN69,44,LAUF69,1,Closed,Line,NO,"  0,03993","  0,09965"," 0,00000","  0,00200"," 1,00000","     82,0","     82,0","     82,0"
14,WEBER69,34,PATTEN69,1,Closed,Line,NO,"  0,02625","  0,06429"," 0,00000","  0,00120"," 1,00000","     72,0","     72,0","     72,0"
47,BOB138,53,SANDERS138,1,Closed,Line,NO,"  0,00204","  0,00692"," 0,00000","  0,16010"," 1,00000","    185,0","    185,0","    185,0"
48,BOB69,54,SANDERS69,1,Closed,Line,NO,"  0,01473","  0,03600"," 0,00000","  0,07440"," 1,00000","    105,0","    105,0","    105,0"
10,RAY69,19,GROSS69,1,Closed,Line,NO,"  0,04050","  0,09530"," 0,00000","  0,00210"," 1,00000","     72,0","     72,0","     72,0"
3,MORO138,41,LAUF138,1,Closed,Line,NO,"  0,00902","  0,05710"," 0,00000","  0,01350"," 1,00000","    233,0","    233,0","    233,0"
1,TIM345,31,SLACK345,1,Closed,Line,NO,"  0,00117","  0,01700"," 0,00000","  0,18200"," 1,00000","    597,0","    597,0","    597,0"
